term,estimate,std.error,robust.se,statistic,p.value,conf.low,conf.high
relcd4,0.989032436332282,0.000778180836030082,0.000901885052402641,-12.2278895381097,2.20595704789883e-34,0.987285705329355,0.990782257696166
genderfemale,0.693685765830797,0.0481697621955104,0.0494311405280084,-7.39890287974251,1.37314229830918e-13,0.629632185173567,0.764255628996491
ethnicasian,,0,0,,,,
ethnicafro,0.810973811032983,0.0644133877909297,0.0731533423574193,-2.86411407636825,0.00418177380211277,0.702649257641422,0.935998316413208
ethnicother,0.833276413230502,0.0383730533365873,0.0533101354399622,-3.42129806546059,0.000623229877155172,0.750604941634717,0.925053303451601
nrti_regimen3tc + abc,1.02629271264046,0.0560580183332538,0.0739562860656459,0.350923530798756,0.725645717716638,0.887808993898231,1.18637763219107
nrti_regimenftc + taf,0.199998480738743,1.01048053022226,0.186356606902862,-8.63637482736609,5.80249130452999e-18,0.13880325966321,0.288173292146448
nrti_regimenother,3.97586869174185,0.580949167728289,0.711452911744609,1.94003459715773,0.0523754854177363,0.985921225392247,16.033260514991
pi_regimendrv + rtvb + rtv,0.900350659188761,0.0840457883266089,0.116285319832806,-0.902701823158624,0.366684168586656,0.716851904147658,1.13082117074863
pi_regimendrv,2.01855313422537,0.0767124631077251,0.116128388740892,6.04831421669655,1.46369277353347e-09,1.60765006381615,2.53447988924847
pi_regimenrtvb + atv,1.5612925940861,0.0911186099731075,0.117209257825794,3.8010142917925,0.000144104989080699,1.24083946706696,1.96450437711338
pi_regimendrv + rtv,0.240323529440172,0.153932043039834,0.151646231527114,-9.40194299414863,5.35646334323442e-21,0.178531472588911,0.323502618138201
pi_regimenrtvb + rtv,2.03717476648898,0.14242964751445,0.287928825916051,2.47131883137682,0.0134615740718095,1.15862481863156,3.58190240920356
pi_regimenatv,1.03956588593503,0.385290775231009,0.312779050863491,0.124059487146303,0.901268174864799,0.563136929619037,1.91906652602408
pi_regimenrtvb,2.94903766734736,0.106396465929693,0.130281914766863,8.30106699467061,1.03180486064096e-16,2.28446312817637,3.80694398441703
pi_regimendrv + atv,0.901365060207313,0.225456897982345,0.348649377996416,-0.297849179509547,0.765818277220344,0.455124097582925,1.78513723197111
pi_regimenlpv,10.1457102325448,0.385522719634286,0.222140836101384,10.4305494641532,1.79845271082258e-25,6.5644120186801,15.6808310980244
pi_regimenrtv,,0,0,,,,
pi_regimenrtvb + lpv,6.93556859810077,0.583152307307927,0.447848926202459,4.32436682713566,1.52970577112192e-05,2.88318410131384,16.6836768269642
pi_regimendrv + lpv,,0,0,,,,
ini_regimendtg,0.342931022422873,0.0784518348339145,0.107157531611916,-9.98740766746638,1.73048061645332e-23,0.277967562020455,0.423077014041456
ini_regimenevg,0.756698205751409,0.111737306882631,0.140980965700016,-1.97750650273514,0.0479844062067793,0.574010039893794,0.997529894587463
ini_regimenral,0.446659175801336,0.0758280544798117,0.0951569890348268,-8.46978717606298,2.4584179565615e-17,0.370662358067655,0.538237603536517
nnrti_regimenrpv,0.838280203981758,0.0741950361095267,0.102548551414736,-1.72018872683358,0.0853981415267087,0.685645650250125,1.02489339811512
nnrti_regimenefv,1.16711320590431,0.0797417395518336,0.105335912502222,1.46705288676052,0.142361669018389,0.949403638675362,1.43474617107719
nnrti_regimennvp,1.15414296326683,0.105499550762791,0.11078143303749,1.29406202340968,0.195643997865811,0.928885709050466,1.43402570055684
pkTRUE,0.580241429445916,0.106846441853146,0.123380539442018,-4.41164390145404,1.02588737336897e-05,0.455603475932429,0.738976180452525
